id,name,old_price,new_price,old_quantity,new_quantity
f1_sp000030688,,NEW,,NEW,
f1_sp000020227,,NEW,,NEW,
f1_sp000032616,,NEW,,NEW,
f1_sp000017365,,NEW,,NEW,
f1_sp000017378,,NEW,,NEW,
f1_sp000017379,,NEW,,NEW,
f1_sp000018791,,NEW,,NEW,
f1_sp000019622,,NEW,,NEW,
f1_sp000019623,,NEW,,NEW,
f1_sp000019624,,NEW,,NEW,
f1_sp000019625,,NEW,,NEW,
f1_sp000021318,,NEW,,NEW,
f1_sp000021319,,NEW,,NEW,
f1_sp000021323,,NEW,,NEW,
f1_sp000023038,,NEW,,NEW,
f1_sp000023039,,NEW,,NEW,
f1_sp000023040,,NEW,,NEW,
f1_sp000023041,,NEW,,NEW,
f1_sp000024443,,NEW,,NEW,
f1_sp000024456,,NEW,,NEW,
f1_sp000024459,,NEW,,NEW,
f1_sp000024460,,NEW,,NEW,
f1_sp000024488,,NEW,,NEW,
f1_sp000024494,,NEW,,NEW,
f1_sp000028151,,NEW,,NEW,
f1_sp000028153,,NEW,,NEW,
f1_sp000028158,,NEW,,NEW,
f1_sp000028160,,NEW,,NEW,
f1_sp000028427,,NEW,,NEW,
f1_sp000028428,,NEW,,NEW,
f1_sp000028852,,NEW,,NEW,
f1_sp000028853,,NEW,,NEW,
f1_sp000028854,,NEW,,NEW,
f1_sp000028856,,NEW,,NEW,
f1_sp000030929,,NEW,,NEW,
f1_sp000030930,,NEW,,NEW,
f1_sp000032686,,NEW,,NEW,
f1_sp000032687,,NEW,,NEW,
f1_sp000032691,,NEW,,NEW,
f1_sp000032699,,NEW,,NEW,
f1_sp000032702,,NEW,,NEW,
f1_sp000032703,,NEW,,NEW,
f1_sp000032710,,NEW,,NEW,
f1_sp000032712,,NEW,,NEW,
f1_sp000034975,,NEW,,NEW,
f1_sp000034977,,NEW,,NEW,
f1_sp000034978,,NEW,,NEW,
f1_sp000034979,,NEW,,NEW,
f1_sp000034980,,NEW,,NEW,
f1_sp000034982,,NEW,,NEW,
f1_sp000034983,,NEW,,NEW,
f1_sp000034984,,NEW,,NEW,
f1_sp000034985,,NEW,,NEW,
f1_sp000034986,,NEW,,NEW,
f1_sp000035393,,NEW,,NEW,
f1_sp000035394,,NEW,,NEW,
f1_sp000018640,,NEW,,NEW,
f1_sp000018643,,NEW,,NEW,
f1_sp000018651,,NEW,,NEW,
f1_sp000018653,,NEW,,NEW,
f1_sp000018654,,NEW,,NEW,
f1_sp000016868,,NEW,,NEW,
f1_sp000016873,,NEW,,NEW,
f1_sp000016877,,NEW,,NEW,
f1_sp000016882,,NEW,,NEW,
f1_sp000017632,,NEW,,NEW,
f1_sp000017700,,NEW,,NEW,
f1_sp000021347,,NEW,,NEW,
f1_sp000006518,,NEW,,NEW,
f1_sp000011013,,NEW,,NEW,
f1_sp000026091,,NEW,,NEW,
f1_sp000026263,,NEW,,NEW,
f1_sp000031770,,NEW,,NEW,
f1_sp000032928,,NEW,,NEW,
f1_sp000024928,,NEW,,NEW,
f1_sp000024930,,NEW,,NEW,
f1_sp000028503,,NEW,,NEW,
f1_sp000025164,,NEW,,NEW,
f1_sp000025186,,NEW,,NEW,
f1_sp000024612,,NEW,,NEW,
f1_sp000024616,,NEW,,NEW,
f1_sp000024623,,NEW,,NEW,
f1_sp000024801,,NEW,,NEW,
f1_sp000024802,,NEW,,NEW,
f1_sp000025041,,NEW,,NEW,
f1_sp000025063,,NEW,,NEW,
f1_sp000025095,,NEW,,NEW,
f1_sp000025111,,NEW,,NEW,
f1_sp000025115,,NEW,,NEW,
f1_sp000025121,,NEW,,NEW,
f1_sp000025169,,NEW,,NEW,
f1_sp000025177,,NEW,,NEW,
f1_sp000025180,,NEW,,NEW,
f1_sp000025185,,NEW,,NEW,
f1_sp000025189,,NEW,,NEW,
f1_sp000025192,,NEW,,NEW,
f1_sp000026536,,NEW,,NEW,
