🔗 Знайдено 7 посилань у feeds.txt
🧭 Зміни у фідах: так
📦 Загальна кількість товарів (offers): 43965
🛠️ Готуємо оновлення для Prom: 43965
🔎 External IDs (перші): f1_SP000045965, f1_SP000005830, f1_SP000044740, f1_SP000045976, f1_SP000047275, f1_SP000033365, f1_SP000047165, f1_SP000002301, f1_SP000039157, f1_SP000046015, f1_SP000045498, f1_SP000047426, f1_SP000044385, f1_SP000036625, f1_SP000040280, f1_SP000040556, f1_SP000047023, f1_SP000047393, f1_SP000047229, f1_SP000006184, f1_SP000036703, f1_SP000044159, f1_SP000040875, f1_SP000047727, f1_SP000045347, f1_SP000043810, f1_SP000032695, f1_SP000043608, f1_SP000048840, f1_SP000041986, f1_SP000039839, f1_SP000047125, f1_SP000049255, f1_SP000044082, f1_SP000047373, f1_SP000045856, f1_SP000042099, f1_SP000000395, f1_SP000045798, f1_SP000045869, f1_SP000045751, f1_SP000046869, f1_SP000047539, f1_SP000047415, f1_SP000046986, f1_SP000017467, f1_SP000046797, f1_SP000032775, f1_SP000017249, f1_SP000044367
🚚 Відправляємо 88 партій
[1/88] HTTP 200 — OK; items=500
[2/88] HTTP 200 — OK; items=500
[3/88] HTTP 200 — OK; items=500
[4/88] HTTP 200 — OK; items=500
[5/88] HTTP 200 — OK; items=500
[6/88] HTTP 200 — OK; items=500
[7/88] HTTP 200 — OK; items=500
[8/88] HTTP 200 — OK; items=500
[9/88] HTTP 200 — OK; items=500
[10/88] HTTP 200 — OK; items=500
[11/88] HTTP 200 — OK; items=500
[12/88] HTTP 200 — OK; items=500
[13/88] HTTP 200 — OK; items=500
[14/88] HTTP 200 — OK; items=500
[15/88] HTTP 200 — OK; items=500
[16/88] HTTP 200 — OK; items=500
[17/88] HTTP 200 — OK; items=500
[18/88] HTTP 200 — OK; items=500
[19/88] HTTP 200 — OK; items=500
[20/88] HTTP 200 — OK; items=500
[21/88] HTTP 200 — OK; items=500
[22/88] HTTP 200 — OK; items=500
[23/88] HTTP 200 — OK; items=500
[24/88] HTTP 200 — OK; items=500
[25/88] HTTP 200 — OK; items=500
[26/88] HTTP 200 — OK; items=500
[27/88] HTTP 200 — OK; items=500
[28/88] HTTP 200 — OK; items=500
[29/88] HTTP 200 — OK; items=500
[30/88] HTTP 200 — OK; items=500
[31/88] HTTP 200 — OK; items=500
[32/88] HTTP 200 — OK; items=500
[33/88] HTTP 200 — OK; items=500
[34/88] HTTP 200 — OK; items=500
[35/88] HTTP 200 — OK; items=500
[36/88] HTTP 200 — OK; items=500
[37/88] HTTP 200 — OK; items=500
[38/88] HTTP 200 — OK; items=500
[39/88] HTTP 200 — OK; items=500
[40/88] HTTP 200 — OK; items=500
[41/88] HTTP 200 — OK; items=500
[42/88] HTTP 200 — OK; items=500
[43/88] HTTP 200 — OK; items=500
[44/88] HTTP 200 — OK; items=500
[45/88] HTTP 200 — OK; items=500
[46/88] HTTP 200 — OK; items=500
[47/88] HTTP 200 — OK; items=500
[48/88] HTTP 200 — OK; items=500
[49/88] HTTP 200 — OK; items=500
[50/88] HTTP 200 — OK; items=500
[51/88] HTTP 200 — OK; items=500
[52/88] HTTP 200 — OK; items=500
[53/88] HTTP 200 — OK; items=500
[54/88] HTTP 200 — OK; items=500
[55/88] HTTP 200 — OK; items=500
[56/88] HTTP 200 — OK; items=500
[57/88] HTTP 200 — OK; items=500
[58/88] HTTP 200 — OK; items=500
[59/88] HTTP 200 — OK; items=500
[60/88] HTTP 200 — OK; items=500
[61/88] HTTP 200 — OK; items=500
[62/88] HTTP 200 — OK; items=500
[63/88] HTTP 200 — OK; items=500
[64/88] HTTP 200 — OK; items=500
[65/88] HTTP 200 — OK; items=500
[66/88] HTTP 200 — OK; items=500
[67/88] HTTP 200 — OK; items=500
[68/88] HTTP 200 — OK; items=500
[69/88] HTTP 200 — OK; items=500
[70/88] HTTP 200 — OK; items=500
[71/88] HTTP 200 — OK; items=500
[72/88] HTTP 200 — OK; items=500
[73/88] HTTP 200 — OK; items=500
[74/88] HTTP 200 — OK; items=500
[75/88] HTTP 200 — OK; items=500
[76/88] HTTP 200 — OK; items=500
[77/88] HTTP 200 — OK; items=500
[78/88] HTTP 200 — OK; items=500
[79/88] HTTP 200 — OK; items=500
[80/88] HTTP 200 — OK; items=500
[81/88] HTTP 200 — OK; items=500
[82/88] HTTP 200 — OK; items=500
[83/88] HTTP 200 — OK; items=500
[84/88] HTTP 200 — OK; items=500
[85/88] HTTP 200 — OK; items=500
[86/88] HTTP 200 — OK; items=500
[87/88] HTTP 200 — OK; items=500
[88/88] HTTP 200 — OK; items=465
✅ Завершено. Оновлено (надіслано) записів: 43965
